field1,field2,field3,field4,field5,field6,_GC_TYPE,_CLEANADDR,_PNU,_X,_Y
2017,2017-05-31,주유소,폐업,청담주유소,서울특별시 강북구 도봉로155 (미아동),정,서울특별시 강북구 도봉로 155 (미아동),1130510100103170003,127.02728973789095,37.62259361535816
2017,2017-05-29,주유소,휴업,그린에너지 그린주유소,충청남도 아산시 음봉면로192 (음봉면),정,충청남도 아산시 음봉면로 192 (음봉면),4420035026103010001,127.02326875606894,36.860670833469634
2017,2017-05-29,주유소,폐업,에이제이토탈(주)직영울산주유소,울산광역시 중구 염포로31 (남외동),정,울산광역시 중구 염포로 31 (남외동),3111011500110300003,129.34471828571688,35.56032452410652
2017,2017-04-24,주유소,신규등록,서순창농협주유소,전라북도 순창군 복흥면 정산리 796-2,정,전북특별자치도 순창군 복흥면 정산리 796-2,5277037031107960002,126.9284710705456,35.43377619909898
2017,2017-06-01,주유소,휴업,구도일주유소 동천,서울특별시 중랑구 동일로654 (면목동),정,서울특별시 중랑구 동일로 654 (면목동),1126010100101450056,127.08024397867754,37.588906425757344
2017,2017-06-30,주유소,신규등록,키다리식품(주)홍천(서울)주유소,강원도 홍천군 화촌면 서울양양고속도로 83-1,정,강원특별자치도 홍천군 서울양양고속도로 83-1 (화촌면),5172031026202440004,128.00540610212383,37.75862628637703
2017,2017-05-30,주유소,폐업,전국오일뱅크주유소,경상북도 영천시 영천아이시로11 (작산동),정,경상북도 영천시 영천아이시로 11 (작산동),4723011500102600000,128.94508271942564,35.937919579786204
2017,2017-05-30,주유소,휴업,광동주유소,세종특별자치시 부강외천로240 (부강면),정,세종특별자치시 부강외천로 240 (부강면),3611033025104120001,127.3934676007828,36.52879260408833
2017,2017-06-01,주유소,폐업,해오름주유소,충청남도 아산시 아산로559-12 (염치읍),유,충청남도 아산시 아산로 559-28 (염치읍),4420025025101360004,126.9672073001584,36.82222117254826
2017,2017-05-08,주유소,폐업,판다주유소,경상북도 구미시 형곡로250 (형곡동),정,경상북도 구미시 형곡로 250 (형곡동),4719010900101970004,128.34255148139405,36.109293821065734
2017,2017-06-01,주유소,휴업,아주주유소,경상남도 사천시 진삼로95 (송포동),정,경상남도 사천시 진삼로 95 (송포동),4824012600100150003,128.06614081340902,34.96621905317142
2017,2017-04-27,주유소,신규등록,북여주IC주유소,경기도 여주시 흥천면 이여로 1067,정,경기도 여주시 이여로 1067 (흥천면),4167032022104750004,127.51875446144425,37.37521426070862
2017,2017-06-01,주유소,휴업,씨앤에스에너지 영천(포항방향)주유소,경상북도 영천시 운주로777 (임고면),정,경상북도 영천시 운주로 777 (임고면),4723037028101030000,129.04249626459108,36.051317176397134
2017,2017-05-11,주유소,휴업,세광에너지(주)소망주유소,경기도 안산시 상록구 석호로202 (사동),정,경기도 안산시 상록구 석호로 202 (사동),4127110300113180003,126.85323908252657,37.2949924794335
2017,2017-07-03,주유소,휴업,온천주유소,강원도 홍천군 온천길145 (북방면),정,강원특별자치도 홍천군 온천길 145 (북방면),5172038036200320006,127.84108474808373,37.6975675870153
2017,2017-06-05,주유소,폐업,남자주유소,경상남도 사천시 주공로3 (벌리동),정,경상남도 사천시 주공로 3 (벌리동),4824010800102530006,128.08609429106417,34.93858050204177
2017,2017-06-01,주유소,휴업,홍보주유소,충청남도 보령시 충청수영로564-5 (오천면),정,충청남도 보령시 충청수영로 564-5 (오천면),4418032021100170006,126.54212423276061,36.44470075195235
2017,2017-06-07,주유소,휴업,상록주유소,전라북도 부안군 변산로3214 (변산면),정,전북특별자치도 부안군 변산로 3214 (변산면),5280036021105470003,126.48480060994288,35.60006641679324
2017,2017-05-02,주유소,폐업,수산주유소,충청북도 제천시 월악로3184 (수산면),정,충청북도 제천시 월악로 3184 (수산면),4315033021102410003,128.19569104103982,36.93330699751391
2017,2017-06-05,주유소,휴업,팔공산주유소,대구광역시 동구 팔공로197길2 (백안동),유,대구광역시 동구 팔공로197길 10 (백안동),2714013500106740005,128.6877513574855,35.955228487899156
2017,2017-06-05,주유소,폐업,제일주유소,경상남도 진주시 진산로695 (집현면),정,경상남도 진주시 진산로 695 (집현면),4817042022103570004,128.08658948580214,35.23948922166673
2017,2017-05-16,주유소,신규등록,익산IC주유소,전라북도 익산시 무왕로2022 (금마면),정,전북특별자치도 익산시 무왕로 2022 (금마면),5214040021100350011,127.06948330066724,35.98909503072615
2017,2017-07-07,주유소,휴업,플러스주유소,전라북도 부안군 주을로107 (줄포면),정,전북특별자치도 부안군 주을로 107 (줄포면),5280041022101940012,126.6883273597715,35.60017297604637
2017,2017-05-15,주유소,폐업,대덕주유소,경기도 고양시 덕양구 대덕산로115 (덕은동),유,경기도 고양시 덕양구 대덕산로 111 (덕은동),4128113100106560000,126.86860510416011,37.58225824722412
2017,2017-06-13,주유소,폐업,SK한양주유소,전라북도 전주시 덕진구 백제대로809 (우아동3가),정,전북특별자치도 전주시 덕진구 백제대로 809 (우아동3가),5211311500107470063,127.15666763597713,35.84837158044256
2017,2017-06-15,주유소,휴업,광터주유소,강원도 원주시 보통로587 (지정면),유,강원특별자치도 원주시 보통로 589 (지정면),5113033027100240000,127.89043462895964,37.34749403578641
2017,2017-06-01,주유소,폐업,남부주유소,대전광역시 중구 대종로446 (대흥동),유,대전광역시 중구 대종로 447 (대흥동),3014010500101770000,127.42786958668866,36.324658374688106
2017,2017-06-05,주유소,폐업,에스제이주유소,부산광역시 사상구 백양대로683 (덕포동),정,부산광역시 사상구 백양대로 683 (덕포동),2653010300101110000,128.9884350162928,35.16785501055938
2017,2017-05-24,주유소,신규등록,용인대주유소,경기도 용인시 처인구 이동면 서리 644-4외 1필지,정,경기도 용인시 처인구 이동읍 서리 644-4,4146125629106440004,127.17260493518246,37.209572100369435
2017,2017-05-08,주유소,폐업,간석주유소,인천광역시 남동구 구월로107 (간석동),정,인천광역시 남동구 구월로 107 (간석동),2820010200109090000,126.70239625798038,37.45709232782566
2017,2017-05-23,주유소,휴업,동강주유소,전라남도 나주시 나주서부로1461 (동강면),정,전라남도 나주시 나주서부로 1461 (동강면),4617035021103260002,126.57332072295712,34.93761422650477
2017,2017-06-08,주유소,신규등록,왕궁풍차주유소,전라북도 익산시 왕궁면 9001번지,유,전북특별자치도 익산시 왕궁면 흥암리 1919,5214041022119190000,127.07322178674694,35.95250463210582
2017,2017-06-13,주유소,폐업,성남주유소,강원도 원주시 신림황둔로187 (신림면),정,강원특별자치도 원주시 신림황둔로 187 (신림면),5113039021102210000,128.0874411573803,37.24501644627826
2017,2017-06-21,주유소,폐업,전하주유소,울산광역시 동구 방어진순환도로723 (전하동),유,울산광역시 동구 방어진순환도로 725 (전하동),3117010400106820007,129.42967028130937,35.506514396827576
2017,2017-06-06,주유소,휴업,포천농협주유소,경기도 포천시 호국로1698 (군내면),정,경기도 포천시 호국로 1698 (군내면),4165031028107690000,127.21105117003295,37.904044066018166
2017,2017-06-14,주유소,신규등록,역전주유소,충청남도 보령시 대해로141(내항동),정,충청남도 보령시 대해로 141 (내항동),4418010700103250003,126.58587552191833,36.33949076599062
2017,2017-06-20,주유소,신규등록,수암주유소,전라남도 영암군 학산면 녹색로2896,정,전라남도 영암군 녹색로 2896 (학산면),4683038021103110001,126.65681473135568,34.70102637181612
2017,2017-07-12,주유소,휴업,군위(하)주유소,경상북도 군위군 경북대로4082 (군위읍),대,경상북도,4700000000000000000,128.63672036231335,36.36201475671573
2017,2017-05-29,주유소,휴업,(유)성민에너지 대명주유소,전라북도 임실군 춘향로1827 (오수면),정,전북특별자치도 임실군 춘향로 1827 (오수면),5275035528103020003,127.32151083317633,35.558590236138215
2017,2017-05-16,주유소,휴업,명신주유소,전라남도 여수시 화양로1728 (화양면),정,전라남도 여수시 화양로 1728 (화양면),4613033023103030000,127.62218651708783,34.7329683564985
2017,2017-06-14,주유소,신규등록,원천주유소,"수원시 영통구 원천동 182-1,182-5, 603-3",유,경기도 수원시 영통구 원천동 182-8,4111710200101820008,127.06502896736201,37.269116203251876
2017,2017-06-23,주유소,신규등록,낙동강구미주유소,경북 의성군 단밀면 낙정리 산3,정,경상북도 의성군 단밀면 낙정리 산 3,4773041036200030000,128.2997425299542,36.344422074836864
2017,2017-06-26,주유소,휴업,성남주유소,강원도 원주시 신림황둔로187 (신림면),정,강원특별자치도 원주시 신림황둔로 187 (신림면),5113039021102210000,128.0874411573803,37.24501644627826
2017,2017-06-19,주유소,폐업,(주)시아이에스 태양주유소,경기도 용인시 수지구 용구대로2772번길3-5 (죽전동),정,경기도 용인시 수지구 용구대로2772번길 3-5 (죽전동),4146510200108770004,127.10930253989949,37.333573362017326
2017,2017-05-26,주유소,신규등록,씨앤에스에너지(주)한양주유소,경기도 고양시 덕양구 권율대로593(원흥동),정,경기도 고양시 덕양구 권율대로 593 (원흥동),4128110400102180000,126.87200822216607,37.64327407133399
2017,2017-06-21,주유소,휴업,밸류주유소,경상북도 포항시 북구 중흥로115 (죽도동),정,경상북도 포항시 북구 중흥로 115 (죽도동),4711311600107090005,129.35176881576004,36.01538758963304
